,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
60,2021-22,ATL,Atlanta Hawks,22100470,12/22/21,ATL vs. ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
78,2021-22,ATL,Atlanta Hawks,22100434,12/17/21,ATL vs. DEN,42.83,89.38,0.479,0.46,0.019,0.428,23.04,38.21,0.603,0.583,30.54,55.75,0.548,0.532,0.016,1610612743,12.29,33.63,0.366,0.351,0.015,99.9,110.3
61,2021-22,ATL,Atlanta Hawks,22100418,12/15/21,ATL @ ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
1,2021-22,ATL,Atlanta Hawks,22100407,12/13/21,ATL vs. HOU,43.75,90.63,0.483,0.461,0.022,0.471,26.5,42.71,0.62,0.582,32.04,56.96,0.563,0.531,0.032,1610612745,11.71,33.67,0.348,0.353,-0.006,103.3,114.4
15,2021-22,ATL,Atlanta Hawks,22100384,12/10/21,ATL vs. BKN,40.87,89.26,0.458,0.456,0.002,0.419,21.57,37.43,0.576,0.577,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
74,2021-22,ATL,Atlanta Hawks,22100359,12/6/21,ATL @ MIN,41.7,88.35,0.472,0.459,0.012,0.425,22.91,37.52,0.611,0.582,28.35,50.83,0.558,0.531,0.026,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
42,2021-22,ATL,Atlanta Hawks,22100350,12/5/21,ATL vs. CHA,42.45,89.18,0.476,0.459,0.017,0.43,22.64,38.36,0.59,0.58,28.45,52.23,0.545,0.529,0.016,1610612766,14,36.95,0.379,0.352,0.027,102.3,111
76,2021-22,ATL,Atlanta Hawks,22100335,12/3/21,ATL vs. PHI,40.67,85.46,0.476,0.459,0.017,0.415,21.67,35.5,0.61,0.583,29.17,53.67,0.543,0.528,0.015,1610612755,11.5,31.79,0.362,0.353,0.009,98.4,108.3
26,2021-22,ATL,Atlanta Hawks,22100319,12/1/21,ATL @ IND,45.86,89.77,0.511,0.456,0.055,0.477,26.68,42.86,0.622,0.572,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
35,2021-22,ATL,Atlanta Hawks,22100293,11/27/21,ATL vs. NYK,38.09,83.74,0.455,0.462,-0.008,0.389,19.78,32.61,0.607,0.581,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35,0.332,0.356,-0.024,98.4,107.6
